service_request_number;reported_date;service_request_summary;category;definition;follow_up_date;service_request_type;neighborhood
5361450;2021-08-17;COURT DATE 12/09/2021 @ 1:30PM. OCCUPIED PROPERTY HAS HIGH GRASS AND WEEDS;Weeds;Case dismissed         Need further discussion;2021-10-14;CE-Weeds Occupied Property;Parkway Village
5394242;2021-08-17;tall grass in the front;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-19;CE-Weeds Occupied Property;Parkway Village
5398048;2021-08-19;multiple vehicles, parking on yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-11-15;CE-Junky Yard;Parkway Village
5413422;2021-08-30;over grown weed / grass in the backyard;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-08-09;CE-Weeds Occupied Property;Parkway Village
5433628;2021-09-14;Junky front and back yards, trash, rubbish, open storage in yards and at curbside along with loaded trailer.;Inspection-Junky Yard;Closed Void;2021-10-06;CE-Junky Yard;Parkway Village
5433614;2021-09-14;Junk, loaded trailer on grass. trash, along with open storage in back yard.;Inspection-Junky Yard;Closed Void;2021-10-06;CE-Junky Yard;Parkway Village
5433934;2021-09-15;Junky front yard, car parts, trash, garbage and open storage. Autos on grass and inoperables in driveway.;Inspection-Junky Yard;Closed Void;2021-10-06;CE-Junky Yard;Parkway Village
5435132;2021-09-15;trash and other debris all around home, cars parked in yard, property is not kept clean outside;Inspection-Junky Yard;Closed Void;2022-01-17;CE-Junky Yard;Parkway Village
5445374;2021-09-22;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-11;CE-Junky Yard;Parkway Village
5446768;2021-09-23;DUMPING TRASH , GUTTING OUT THE HOUSE;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-11-01;CE-Junky Yard;Parkway Village
5456142;2021-10-01;High grass and weeds in back yard.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-15;CE-Weeds Occupied Property;Parkway Village
5460964;2021-10-05;PARKING ON GRASS REAR;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-19;CE-Junky Yard;Parkway Village
5460264;2021-10-05;HIGH GRASS, TREE DEBRIS;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-19;CE-Weeds Occupied Property;Parkway Village
5470358;2021-10-14;High grass and weeds Front and back yards. Also open storage under carport.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-16;CE-Weeds Occupied Property;Parkway Village
5473096;2021-10-16;COURT DATE 01/12/2023 @ 1:30PM. HIGH WEEDS GRASS, JUNKY YARD,  INOPERABLE VEHICLE;Inspection-Junky Yard;Case dismissed         Need further discussion;2022-12-08;CE-Junky Yard;Parkway Village
5478910;2021-10-21;Junky yards on exterior of property.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-07;CE-Junky Yard;Parkway Village
5479022;2021-10-21;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-08;CE-Junky Yard;Parkway Village
5491930;2021-11-04;Backyard near rear property line  inoperable vehicles -;Inspection-Junky Yard;Closed, Other;2022-03-07;CE-Junky Yard;Parkway Village
5506646;2021-11-22;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-02-25;CE-Junky Yard;Parkway Village
5506598;2021-11-22;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-03-11;CE-Junky Yard;Parkway Village
5510228;2021-11-27;junk in yard, trash ,cars and trucks;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-03-02;CE-Junky Yard;Parkway Village
