Offense Date,UCR Description,UCR Category,Zip Code
2021-01-17 18:00:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-17 18:30:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-17 19:00:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-17 19:25:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-17 21:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-17 23:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-17 23:30:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-18 05:20:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-18 08:03:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-18 12:00:00+00:00,THEFT FROM A BUILDING,LARCENY/THEFT,38128
2021-01-18 12:45:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-18 13:30:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-18 17:25:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-18 17:47:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-18 17:54:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-18 19:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-18 20:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-18 22:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-18 22:45:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-19 01:29:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-19 02:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-19 09:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-19 10:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-19 10:00:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-19 11:35:00+00:00,ROBBERY,ROBBERY,38128
2021-01-19 15:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-19 15:30:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-19 15:37:00+00:00,CREDIT CARD/ATM FRAUD,FRAUD,38128
2021-01-19 16:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-19 16:00:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-19 18:50:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-19 22:00:00+00:00,ROBBERY,ROBBERY,38128
2021-01-20 00:30:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-20 02:50:00+00:00,ROBBERY,ROBBERY,38128
2021-01-20 12:30:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
