Offense Date,UCR Description,UCR Category,Zip Code
2021-01-19 19:30:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-19 19:45:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-19 20:13:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-19 20:30:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38114
2021-01-20 02:30:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-20 06:05:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38114
2021-01-20 07:00:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38114
2021-01-20 10:50:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-20 11:17:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38114
2021-01-20 11:55:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-20 13:05:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-20 14:58:00+00:00,DRUG/NARCOTIC EQUIQ VIOL,DRUG/NARCOTIC,38114
2021-01-20 15:50:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-20 16:46:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-20 19:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-20 20:00:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-20 23:54:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38114
2021-01-21 00:00:00+00:00,CREDIT CARD/ATM FRAUD,FRAUD,38114
2021-01-21 10:00:00+00:00,ARSON,ARSON,38114
2021-01-21 14:40:00+00:00,ARSON,ARSON,38114
2021-01-21 14:48:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-21 14:50:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-21 18:05:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38114
2021-01-21 19:30:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-21 19:30:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-21 23:00:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-22 00:00:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-22 08:13:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
